"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.892148173E0,8.295740932E-2,-2.103895694E-1,-9.307740927E-1
2.902125517E0,3.715106845E-2,-2.423474789E-1,-9.968204498E-1
2.912092288E0,-2.356895804E-2,-2.828274965E-1,-1.037300467E0
2.922064371E0,7.123950869E-2,-2.977411747E-1,-1.072454214E0
2.932031663E0,-1.737711281E-1,-3.978759646E-1,-1.074584723E0
2.941993850E0,-1.514005959E-1,-4.692486227E-1,-1.019191027E0
2.951960621E0,1.478053257E-2,-4.809665382E-1,-9.616667628E-1
2.961930621E0,-8.855003864E-2,-5.012065172E-1,-9.201214910E-1
2.971897705E0,-1.151816323E-1,-4.937497079E-1,-8.636624813E-1
2.981866455E0,1.478053257E-2,-4.468781054E-1,-8.158587813E-1
2.991833694E0,-2.664490640E-1,-4.799012840E-1,-7.753787637E-1
3.001802444E0,-4.700475931E-2,-4.458128214E-1,-6.805703044E-1
3.011769840E0,-1.045289934E-1,-4.511391521E-1,-5.559344888E-1
3.021733434E0,-1.876195520E-1,-4.308991432E-1,-4.515386224E-1
3.031700413E0,1.511342824E-1,-3.041327596E-1,-3.663175404E-1
3.041669632E0,2.372874767E-1,-1.954758763E-1,-2.492716908E-1
3.051636871E0,-9.174583107E-2,-2.008021921E-1,-8.841688186E-2
3.061601142E0,9.321057005E-4,-2.423474789E-1,1.544632316E-1
3.071568017E0,3.086601496E-1,-2.146506310E-1,4.110586047E-1
3.081530986E0,1.511342824E-1,-1.954758763E-1,6.443513632E-1
3.091497444E0,7.869634777E-2,-1.091895252E-1,8.029424548E-1
3.101478330E0,8.295740932E-2,-1.771000773E-2,9.478183389E-1
3.111446246E0,2.010685205E-2,1.424790081E-2,1.112934232E0
3.121411402E0,-6.724476814E-2,3.022685647E-2,1.293895841E0
3.131379059E0,-7.257108390E-2,9.627319872E-2,1.414270639E0
3.141347809E0,1.051947847E-2,1.591237634E-1,1.474990726E0
3.151315569E0,-7.789740711E-2,1.569932252E-1,1.542102337E0
3.161280621E0,-2.515353858E-1,1.165132076E-1,1.601757050E0
3.171248069E0,-5.459476262E-3,1.282311082E-1,1.584712863E0
3.181218746E0,-1.078579482E-2,8.881635964E-2,1.514405370E0
3.191186507E0,-2.643185556E-1,1.744369231E-2,1.436641216E0
3.201147080E0,-1.268995255E-1,4.833633825E-2,1.349289536E0
3.211114111E0,9.454214945E-3,1.079910994E-1,1.241831064E0
3.221079892E0,-3.209106624E-2,1.143826842E-1,1.137435198E0
3.231046767E0,1.266332120E-1,1.292963773E-1,1.008538365E0
3.241020413E0,7.656582445E-2,7.603318989E-2,8.775109053E-1
3.250988017E0,-3.328948980E-3,2.530001104E-3,7.370292544E-1
3.260945725E0,3.928159550E-2,-2.303632535E-2,5.601955056E-1
3.270912288E0,9.574057162E-2,-7.057371549E-3,3.545996249E-1
3.280894163E0,9.680583328E-2,-1.451421715E-2,1.619200706E-1
3.290862288E0,-4.394212738E-3,-4.327633604E-2,-8.522109129E-3
3.300824267E0,9.254477918E-2,-5.805686861E-2,-1.480716467E-1
3.310791715E0,7.656582445E-2,-9.321057051E-2,-2.609896064E-1
3.320762861E0,-2.569948509E-2,-1.560611278E-1,-3.279680312E-1
3.330730673E0,2.649843320E-2,-1.826927215E-1,-3.822965026E-1
3.340689423E0,-1.258342713E-1,-2.263685167E-1,-4.387554526E-1
3.350656298E0,1.117195264E-1,-1.869537681E-1,-4.824312627E-1
3.360623121E0,2.841590643E-1,-1.368863732E-1,-5.431513190E-1
3.370589996E0,-1.343563795E-1,-2.284990549E-1,-5.846965909E-1
3.380546871E0,7.230477035E-2,-2.189116776E-1,-5.442165732E-1
3.390512757E0,1.468732208E-1,-2.327601016E-1,-4.717786312E-1
3.400495569E0,-8.641951531E-2,-2.508696020E-1,-4.153196514E-1
3.410463173E0,-1.098553166E-1,-2.391516864E-1,-3.631217480E-1
3.420428955E0,-1.291632187E-2,-2.135853618E-1,-2.950780392E-1
3.430396350E0,-3.102580272E-2,-2.050632536E-1,-2.034653574E-1
3.440369319E0,2.330264151E-1,-1.560611278E-1,-5.113265663E-2
